Data	Godzina	Zrodla_wiatrowe	Zrodla_fotowoltaiczne
2024-04-01	1	3130,263	0,000
2024-04-01	2	2765,588	0,000
2024-04-01	3	2555,438	0,000
2024-04-01	4	2675,238	0,000
2024-04-01	5	2681,175	0,000
2024-04-01	6	2367,325	0,213
2024-04-01	7	2525,225	117,075
2024-04-01	8	2360,988	1162,075
2024-04-01	9	1940,838	2680,513
2024-04-01	10	1368,675	4416,000
2024-04-01	11	1140,463	5331,575
2024-04-01	12	1305,863	5812,225
2024-04-01	13	1511,488	5846,613
2024-04-01	14	1931,050	5471,425
2024-04-01	15	2229,250	5661,825
2024-04-01	16	2467,125	5067,988
2024-04-01	17	2655,850	3458,138
2024-04-01	18	2572,763	1719,088
2024-04-01	19	2891,175	560,763
2024-04-01	20	3515,200	51,438
2024-04-01	21	3941,538	0,000
2024-04-01	22	4127,375	0,000
2024-04-01	23	4248,550	0,000
2024-04-01	24	4027,725	0,000
2024-04-02	1	3346,575	0,000
2024-04-02	2	3446,238	0,000
2024-04-02	3	4149,300	0,000
2024-04-02	4	4457,175	0,000
2024-04-02	5	4588,438	0,000
2024-04-02	6	4658,500	1,075
2024-04-02	7	4732,975	61,275
2024-04-02	8	4939,825	440,625
2024-04-02	9	5218,963	1086,275
2024-04-02	10	5539,775	1915,263
2024-04-02	11	5927,375	2442,263
2024-04-02	12	6218,075	2724,638
2024-04-02	13	6813,663	2673,263
2024-04-02	14	7025,850	2775,588
2024-04-02	15	7180,763	2810,938
2024-04-02	16	7220,488	2744,525
2024-04-02	17	7167,563	2404,775
2024-04-02	18	6882,125	1488,125
2024-04-02	19	6806,563	581,400
2024-04-02	20	7039,963	56,850
2024-04-02	21	7089,238	0,000
2024-04-02	22	6955,638	0,000
2024-04-02	23	6667,775	0,000
2024-04-02	24	6771,088	0,000
2024-04-03	1	6683,550	0,000
2024-04-03	2	6485,225	0,000
2024-04-03	3	6362,625	0,000
2024-04-03	4	5948,925	0,000
2024-04-03	5	5874,188	0,000
2024-04-03	6	5815,163	0,625
2024-04-03	7	5951,288	76,875
2024-04-03	8	5858,288	704,400
2024-04-03	9	5839,825	1911,000
2024-04-03	10	5734,263	3500,000
2024-04-03	11	5387,150	4405,413
2024-04-03	12	5066,938	4657,038
2024-04-03	13	4827,975	5127,788
2024-04-03	14	4638,213	5204,475
2024-04-03	15	4444,013	5284,650
2024-04-03	16	4060,725	4440,788
2024-04-03	17	3365,000	3380,625
2024-04-03	18	2697,338	1752,175
2024-04-03	19	2075,575	515,938
2024-04-03	20	1725,175	98,513
2024-04-03	21	1506,863	0,000
2024-04-03	22	1343,600	0,000
2024-04-03	23	1320,563	0,000
2024-04-03	24	1277,138	0,000
2024-04-04	1	1296,938	0,000
2024-04-04	2	1376,750	0,000
2024-04-04	3	1459,925	0,000
2024-04-04	4	1527,538	0,000
2024-04-04	5	1725,063	0,000
2024-04-04	6	1804,563	0,525
2024-04-04	7	1882,800	182,788
2024-04-04	8	1927,500	903,988
2024-04-04	9	1803,063	2087,225
2024-04-04	10	1611,050	3579,600
2024-04-04	11	1517,413	4306,838
2024-04-04	12	1464,938	5172,300
2024-04-04	13	1616,900	5723,513
2024-04-04	14	1760,988	5583,875
2024-04-04	15	1910,588	5109,600
2024-04-04	16	2147,838	4166,700
2024-04-04	17	2389,000	3069,463
2024-04-04	18	2445,225	1544,663
2024-04-04	19	2756,438	540,163
2024-04-04	20	3537,875	97,013
2024-04-04	21	4276,850	0,000
2024-04-04	22	4835,175	0,000
2024-04-04	23	5044,725	0,000
2024-04-04	24	5564,675	0,000
2024-04-05	1	5803,113	0,000
2024-04-05	2	5764,275	0,000
2024-04-05	3	5571,075	0,000
2024-04-05	4	5487,238	0,000
2024-04-05	5	5289,163	0,000
2024-04-05	6	4720,975	2,688
2024-04-05	7	4460,488	207,263
2024-04-05	8	4055,725	1171,600
2024-04-05	9	3390,588	2805,525
2024-04-05	10	3101,225	4478,638
2024-04-05	11	2969,063	6019,913
2024-04-05	12	3016,975	6657,325
2024-04-05	13	3085,650	6455,375
2024-04-05	14	3147,000	6064,800
2024-04-05	15	2894,825	5635,875
2024-04-05	16	2652,625	5442,650
2024-04-05	17	2686,563	4334,075
2024-04-05	18	2823,888	2446,513
2024-04-05	19	3079,100	770,000
2024-04-05	20	3840,150	128,938
2024-04-05	21	4883,038	0,000
2024-04-05	22	5978,138	0,000
2024-04-05	23	6598,913	0,000
2024-04-05	24	6643,113	0,000
2024-04-06	1	6379,675	0,000
