nr_rejestracyjny	marka	rok_produkcji	id_wlasciciela
LSW 3611	kia	2014	813
SY 7290	skoda	2016	739
SB 8489	fiat	2010	158
SY 8015	fiat	2021	874
SK 4231	peugeot	2022	14
SGL 2395	skoda	2022	116
SG 4755	skoda	2016	320
SGL 5105	opel	2010	555
PTU 2542	skoda	2014	632
SH 2816	daewoo	2009	546
SK 8659	daewoo	2015	478
SY 6414	fiat	2016	542
SR 9363	renault	2023	55
SG 8090	skoda	2017	172
SG 9223	chrysler	2018	303
SJZ 5260	renault	2013	482
SK 5917	mercedes	2023	251
SR 2389	lancia	2018	65
SGL 1096	peugeot	2021	610
SBE 1127	skoda	2010	787
SY 9835	toyota	2023	79
SGL 2974	opel	2010	340
SPI 3408	opel	2018	811
SJ 8806	peugeot	2021	577
SZA 9892	opel	2012	323
SD 6681	mercedes	2022	885
SL 4381	peugeot	2023	388
SGL 9441	peugeot	2018	377
SPI 7868	peugeot	2018	179
SB 2135	fiat	2012	428
SZA 2537	toyota	2023	803
RBI 4526	mazda	2019	209
KBR 8282	opel	2022	180
SG 8903	skoda	2018	524
SGL 8659	chrysler	2021	780
SB 6464	daewoo	2013	401
SR 7019	fiat	2010	756
SRC 7993	opel	2014	430
SD 8185	renault	2023	691
SGL 1921	ford	2019	420
SZA 5351	fiat	2015	404
SY 6516	skoda	2017	80
SH 1288	chrysler	2020	446
SB 2239	toyota	2019	626
WBR 1188	honda	2017	661
SGL 1322	opel	2012	742
WI 7067	ford	2011	556
SH 2924	renault	2015	746
SY 3205	skoda	2018	853
SK 8198	skoda	2016	150
SH 2273	fiat	2020	519
SZA 7418	ford	2014	608
SI 6074	chrysler	2017	674
SK 6651	ford	2018	333
SJ 2128	ford	2009	741
SB 9360	skoda	2013	426
SGL 1095	saab	2013	848
SK 4501	fiat	2010	149
SR 5073	fiat	2023	718
SJ 7783	peugeot	2022	895
SY 5840	mercedes	2012	879
PWA 3395	toyota	2020	442
SK 6421	daewoo	2022	601
SG 3943	daewoo	2010	545
SI 9043	fiat	2010	497
SR 4564	renault	2013	110
SZ 1484	citroen	2017	378
SJZ 8304	skoda	2011	380
SK 3444	chrysler	2015	489
SK 5223	skoda	2022	643
SBE 6564	skoda	2017	326
SG 9031	bmw	2011	351
SZA 9374	fiat	2016	18
WSC 6009	chrysler	2010	520
SG 1264	toyota	2010	157
SPI 9289	skoda	2020	195
SK 9175	fiat	2019	477
SR 5364	ford	2022	132
SGL 7288	fiat	2009	228
SY 1151	skoda	2014	51
SO 6567	opel	2020	240
SR 8364	chrysler	2011	331
SI 6988	ford	2011	859
SPI 2325	renault	2016	463
SG 3088	renault	2021	490
SK 6190	ford	2023	8
SJ 7222	ford	2018	161
SY 5203	renault	2020	211
LWL 9123	renault	2018	233
SGL 6690	renault	2023	830
SZ 6852	ford	2014	108
WT 5916	skoda	2018	702
SR 4570	opel	2020	459
SBE 3233	skoda	2022	620
SPI 5137	skoda	2016	699
SY 9490	mercedes	2016	631
SZA 3862	renault	2019	42
SGL 6657	toyota	2018	73
SZA 3256	renault	2016	767
SL 2194	fiat	2022	192
SR 5794	toyota	2014	123
EBR 1304	skoda	2022	637
SZA 4139	opel	2014	652
SZA 7822	fiat	2012	775
SY 5174	toyota	2014	89
SZ 2039	opel	2023	595
SY 9282	volvo	2018	786
SR 5937	volvo	2009	334
SRC 8931	citroen	2017	449
SGL 6421	toyota	2016	496
SZA 8815	skoda	2011	606
SG 4783	skoda	2019	350
SY 5973	opel	2017	414
SR 2675	fiat	2022	883
SY 8913	ford	2011	853
SGL 3033	peugeot	2019	385
SI 6048	mazda	2015	778
FSU 2511	renault	2021	349
SZ 7153	fiat	2012	33
SPI 7267	fiat	2020	421
SI 9519	peugeot	2019	579
SY 3964	toyota	2021	511
TLW 5916	chrysler	2019	808
SJZ 8975	skoda	2021	482
SZ 8239	renault	2017	432
SZA 4095	skoda	2010	801
GCZ 8489	volkswagen	2010	624
PSE 9732	bmw	2017	77
SRC 3990	fiat	2018	222
SO 1293	peugeot	2014	133
SB 2799	skoda	2021	649
WWN 3086	opel	2018	760
SK 4869	fiat	2011	279
ZSD 6700	opel	2014	56
SBE 3278	daewoo	2021	354
SB 7020	saab	2018	418
SR 6467	ford	2017	764
LCH 5794	opel	2022	382
SRC 2272	toyota	2015	823
SBE 9738	mercedes	2020	766
SH 7868	skoda	2022	736
SO 8766	toyota	2010	218
SBE 7074	ford	2011	288
SI 8560	renault	2021	367
EWE 6795	fiat	2010	709
SBE 2151	renault	2020	716
SPI 7260	skoda	2016	454
WU 9626	opel	2023	770
SI 2594	chrysler	2019	877
SY 8138	toyota	2020	874
SK 8780	skoda	2017	213
SO 5255	skoda	2021	76
SZA 6267	skoda	2022	592
SJZ 2829	mercedes	2015	482
CBY 6464	skoda	2022	707
SI 5440	chrysler	2017	411
SZA 7060	saab	2019	552
SZA 2926	skoda	2010	72
GWE 7152	peugeot	2022	878
SG 6609	ford	2012	729
SH 7635	opel	2023	888
SR 3723	skoda	2023	596
SBE 1838	opel	2020	313
SI 9722	peugeot	2020	19
SG 7674	skoda	2017	266
SY 9606	renault	2012	96
SZA 8281	mazda	2023	230
SD 5327	opel	2015	757
TBU 6464	ford	2020	833
SY 9823	lancia	2015	410
PWR 8358	fiat	2011	346
SG 7907	opel	2021	370
SO 6347	opel	2020	711
SI 3586	saab	2014	681
RT 3701	opel	2010	588
SGL 1977	renault	2023	705
SH 1641	renault	2021	584
WX 7564	opel	2023	660
SG 9129	skoda	2013	708
GSL 9861	saab	2009	710
SGL 1243	ford	2016	265
DW 7134	opel	2011	865
SZA 4082	skoda	2014	558
SD 1648	opel	2015	441
SZ 8515	fiat	2021	677
SK 8044	opel	2016	295
SI 5314	ford	2012	527
SG 5085	ford	2013	729
SY 9452	mercedes	2014	636
LBL 9407	fiat	2021	887
SGL 4933	audi	2023	391
SY 5553	daewoo	2014	815
SBE 5640	skoda	2018	457
SG 9732	peugeot	2017	729
SD 4368	opel	2020	893
SY 2803	skoda	2021	4
SK 3286	ford	2019	800
SL 7426	seat	2022	867
SG 9833	peugeot	2011	667
SBE 5811	ford	2023	263
SZA 9874	skoda	2020	812
SR 1648	ford	2013	261
SY 6584	fiat	2020	747
SD 2820	ford	2018	148
SPI 4066	ford	2010	183
SG 1733	opel	2009	269
SGL 4582	ford	2023	103
ST 5714	mercedes	2013	521
SI 7206	opel	2016	488
SI 2866	skoda	2021	347
SR 7869	opel	2018	889
SGL 8223	ford	2012	205
SZA 9407	mercedes	2009	214
SBI 9222	skoda	2013	472
SH 9466	volkswagen	2012	846
SH 6536	opel	2016	856
SGL 5561	toyota	2011	583
LBL 5625	skoda	2009	628
SBE 6689	skoda	2012	167
RBR 1050	mazda	2012	106
ST 3620	daewoo	2010	259
BWM 1074	fiat	2017	662
SY 5870	ford	2020	429
SH 6852	chrysler	2017	898
SL 3649	fiat	2012	299
CWA 9058	skoda	2022	289
ST 6596	peugeot	2023	201
SB 8781	opel	2012	503
SR 7639	skoda	2022	231
NBR 8347	peugeot	2021	574
SK 4814	seat	2020	487
WH 2617	ford	2018	726
ETM 8810	opel	2017	483
SZA 1829	opel	2016	812
SK 4388	lancia	2020	328
LB 5352	skoda	2015	657
KBC 9681	skoda	2015	143
SK 6810	opel	2022	561
SRC 2678	skoda	2021	630
SG 3913	ford	2013	708
SRC 8261	skoda	2023	291
SH 8899	fiat	2011	701
SY 9659	fiat	2014	312
RST 9267	skoda	2011	384
WWG 7444	skoda	2010	282
SR 6390	skoda	2022	802
SB 6424	skoda	2015	798
SGL 3371	mercedes	2016	376
ST 7928	skoda	2018	599
SD 3994	lancia	2022	194
SI 2196	fiat	2010	796
SGL 2617	toyota	2012	715
SZA 3595	skoda	2010	651
SBE 8633	skoda	2022	787
SGL 1409	renault	2019	40
SG 6271	mercedes	2015	30
ST 6900	peugeot	2018	166
OB 1119	fiat	2016	397
SBI 3059	opel	2018	664
SL 3201	peugeot	2013	275
FSU 5170	ford	2009	793
SH 7579	ford	2022	856
SBL 4023	skoda	2016	408
SY 4026	skoda	2013	436
SK 6972	opel	2023	285
GSP 7426	fiat	2012	403
SZA 8077	bmw	2021	801
SCI 8875	mercedes	2013	731
SB 5994	mercedes	2009	458
BIA 6020	fiat	2015	302
SGL 1983	fiat	2016	368
SR 7642	ford	2010	396
SZ 8232	lancia	2012	207
SRC 6481	skoda	2023	301
SBE 1032	fiat	2015	38
WF 5020	opel	2023	645
DBA 3036	peugeot	2009	224
SI 8095	daewoo	2013	847
ST 5532	opel	2010	639
SJ 4733	renault	2016	36
SY 3467	fiat	2011	560
SG 7608	ford	2009	870
SPI 2235	mercedes	2012	890
SG 3794	saab	2018	197
SY 1647	renault	2018	795
FWS 3994	skoda	2014	6
SK 9207	peugeot	2010	99
SR 3435	skoda	2022	825
ST 2902	ford	2009	782
SJ 2837	opel	2018	650
LTM 1125	opel	2020	293
SC 5443	fiat	2015	685
LSW 7545	fiat	2023	125
SBE 2516	skoda	2010	640
SL 9041	opel	2016	722
SW 9083	chrysler	2020	851
SY 6020	opel	2020	641
SY 1991	fiat	2023	547
KTA 7430	fiat	2012	87
SG 8918	skoda	2013	594
SH 3422	toyota	2021	447
SBE 1033	fiat	2020	113
WK 7460	peugeot	2014	822
ZSW 4717	saab	2022	174
SRC 6522	peugeot	2018	355
PSE 8118	toyota	2010	77
SR 3677	mercedes	2023	336
SZA 7027	chrysler	2014	663
SK 3709	ford	2023	241
DBL 5073	fiat	2022	69
SG 2676	fiat	2018	196
SB 1854	saab	2016	48
SPI 4975	fiat	2020	890
SRC 5053	skoda	2021	464
WSZ 8980	opel	2016	452
SGL 3832	opel	2023	732
CCH 9803	chrysler	2015	467
BSU 2531	renault	2016	750
SI 4452	daewoo	2012	178
SK 2179	skoda	2022	474
SB 6170	opel	2019	219
SPI 3549	opel	2013	451
SRC 3523	saab	2009	140
SG 8347	lancia	2021	45
SBE 1722	toyota	2018	375
SR 3285	toyota	2017	665
SO 6360	ford	2011	774
SH 9058	chrysler	2018	24
BS 9311	renault	2022	337
SBE 5037	skoda	2015	43
RBI 4754	chrysler	2013	209
SR 5314	mercedes	2019	365
SY 2747	seat	2023	502
SBE 7448	opel	2023	280
SB 2511	fiat	2009	437
SD 5802	toyota	2022	419
SH 9907	daewoo	2022	476
SI 3953	skoda	2020	469
SJZ 9174	nissan	2023	253
SGL 3395	seat	2010	876
SZA 5062	fiat	2012	812
SH 9398	peugeot	2017	71
SRC 6297	saab	2014	836
SH 7583	opel	2010	523
SGL 9859	skoda	2013	88
SK 4149	daewoo	2015	12
SR 6646	ford	2013	578
SBE 3329	toyota	2018	818
KCH 2298	fiat	2020	412
SZA 3056	skoda	2011	44
SD 8009	skoda	2018	607
SO 2989	fiat	2012	659
SY 1607	renault	2022	339
SH 9294	renault	2019	548
SO 2323	skoda	2018	81
SGL 3308	skoda	2022	91
SGL 6201	opel	2012	866
SK 1186	fiat	2017	255
SW 9597	ford	2009	562
SK 8515	opel	2012	697
SBE 6312	opel	2011	433
SY 8275	skoda	2019	850
WWM 8198	seat	2020	54
SK 8344	opel	2022	236
SR 9701	fiat	2023	212
SBE 2785	saab	2017	766
SK 1745	ford	2020	35
SY 7946	skoda	2014	416
SGL 1692	ford	2019	492
SI 3449	lancia	2023	721
SG 4143	mercedes	2013	392
SI 2678	ford	2020	676
SY 5070	mazda	2015	142
SI 3912	fiat	2020	237
SH 8105	fiat	2009	445
SO 8868	fiat	2019	513
SRC 6251	opel	2011	836
SO 6345	peugeot	2023	512
ZSW 5117	citroen	2023	174
SBE 8899	kia	2021	820
SK 3523	renault	2015	532
SBE 5356	fiat	2023	839
LC 1864	audi	2013	773
SG 6416	peugeot	2009	356
SY 5034	mazda	2019	431
SY 2466	skoda	2014	875
SY 4633	daewoo	2013	465
SD 2256	daewoo	2021	559
SR 3709	toyota	2021	831
SJZ 6380	peugeot	2023	154
SB 2204	skoda	2020	61
SZ 8794	toyota	2020	395
GST 9861	seat	2010	438
SBI 3127	audi	2009	758
CB 7097	saab	2016	591
KT 6026	opel	2015	92
SH 3701	skoda	2015	296
SD 2974	skoda	2010	170
WSK 8364	toyota	2017	554
SZA 5420	ford	2012	206
DSW 7917	fiat	2020	748
SR 1930	ford	2011	745
SW 1000	opel	2010	357
SGL 7687	ford	2015	861
SO 7079	skoda	2016	225
OST 4033	skoda	2011	122
SD 8316	ford	2021	885
BBI 1930	toyota	2018	273
SY 1229	ford	2011	258
SBE 2680	skoda	2011	177
LBI 2362	opel	2016	185
SZA 6564	skoda	2014	121
SI 1724	ford	2022	859
LZ 3449	renault	2018	522
SD 7340	saab	2016	156
SB 4242	skoda	2009	131
SG 7939	mercedes	2010	720
SGL 9092	renault	2013	605
SK 2126	skoda	2016	508
SH 7226	skoda	2015	15
SR 8168	fiat	2016	825
SR 6310	fiat	2022	831
SGL 1260	renault	2023	569
SRC 9921	saab	2011	791
SK 6529	volkswagen	2011	884
SR 1590	fiat	2009	1
DWL 6786	skoda	2014	821
SK 4778	peugeot	2021	832
SZ 6472	ford	2017	646
SK 1394	fiat	2020	680
SR 2636	daewoo	2018	287
SR 9204	fiat	2016	448
SH 7337	skoda	2014	311
WWJ 9368	peugeot	2017	507
SPI 8489	chrysler	2016	783
SGL 2507	ford	2009	598
DB 2531	fiat	2021	799
SG 5637	renault	2017	720
SK 6347	opel	2020	13
SY 4445	renault	2016	402
SY 5538	mercedes	2016	879
SR 1188	daewoo	2018	621
SRC 5022	skoda	2023	204
SH 3800	renault	2012	779
SG 7351	opel	2018	530
SZA 1743	chrysler	2016	84
SGL 4754	ford	2019	876
PSL 9282	lancia	2019	260
SK 2542	renault	2019	832
WWU 9112	fiat	2010	235
SZ 1106	toyota	2023	319
SH 3523	bmw	2021	248
SZA 1363	ford	2013	775
SR 6743	daewoo	2020	372
SD 3721	fiat	2022	597
SL 5042	chrysler	2013	719
SK 5117	peugeot	2022	819
SBI 9048	renault	2018	37
WB 4791	ford	2009	389
SY 2869	fiat	2017	130
SY 5020	fiat	2012	550
SJZ 9892	toyota	2017	267
SK 6620	toyota	2023	832
SG 2887	skoda	2012	871
SZA 5334	mazda	2011	39
STY 2058	renault	2023	582
SY 2481	kia	2023	86
SBI 9474	ford	2022	300
SG 4892	fiat	2009	456
SK 9966	mercedes	2010	819
SGL 7574	renault	2010	534
SH 8057	citroen	2011	609
SI 5792	opel	2013	136
SPI 7596	renault	2011	147
SRC 6464	mercedes	2013	553
SL 7074	chrysler	2009	114
SRC 3495	skoda	2020	21
SH 6210	lancia	2023	101
ZSL 4564	opel	2014	28
SRC 5185	skoda	2015	823
SD 7203	renault	2017	613
SK 9051	peugeot	2009	880
SH 9104	seat	2022	809
WWY 9803	fiat	2020	22
SG 8799	renault	2018	891
SB 3650	opel	2017	868
SL 4415	audi	2019	670
SG 2963	skoda	2020	529
SBE 5036	chrysler	2013	182
SBE 5501	peugeot	2017	704
SY 8731	renault	2019	573
DSR 7152	skoda	2014	127
ZSD 3058	renault	2018	56
SBE 6414	toyota	2023	855
ST 7174	skoda	2012	466
TSZ 7635	ford	2013	535
SH 6501	opel	2022	155
SJZ 8413	renault	2023	164
SO 2799	fiat	2010	774
SD 3430	peugeot	2015	514
BS 1050	ford	2020	499
ZCH 9874	ford	2022	413
SK 3960	fiat	2010	229
SL 7104	skoda	2017	283
SI 9439	opel	2012	444
SK 2218	skoda	2010	11
SBE 7467	fiat	2015	840
CWL 4040	renault	2015	223
SD 8903	daewoo	2010	753
SL 5507	bmw	2016	208
SD 2963	lancia	2017	738
SZ 5983	seat	2019	540
WWL 8269	nissan	2022	581
KWA 3912	peugeot	2015	858
SZA 7153	toyota	2023	653
SGL 6700	fiat	2023	462
SPI 1420	renault	2018	272
SY 6885	chrysler	2018	494
SZA 8980	chrysler	2016	567
RSR 7226	peugeot	2021	53
SK 5103	daewoo	2015	169
GS 2012	renault	2023	160
SD 3221	skoda	2018	315
NSZ 9123	renault	2021	468
SY 3123	opel	2015	129
LZA 2731	fiat	2018	193
ZS 3680	seat	2023	781
SRC 1456	ford	2012	387
SI 3243	ford	2016	877
PSR 1590	seat	2023	16
SZA 2013	saab	2014	361
SB 8982	fiat	2010	27
SH 9868	opel	2016	898
WWS 3371	ford	2011	852
SBE 5576	opel	2019	25
SO 8461	ford	2012	135
SPI 7278	toyota	2018	769
SD 1336	opel	2017	176
TST 4878	skoda	2009	10
SB 4531	skoda	2019	517
SGL 1047	toyota	2020	292
DZA 5735	ford	2013	281
SR 4169	skoda	2017	784
ZST 6689	toyota	2010	516
ST 2253	ford	2009	250
SG 3958	ford	2010	152
SZA 1665	skoda	2020	602
SY 6754	renault	2012	308
SI 9094	renault	2018	151
SK 9187	mercedes	2012	369
SGL 6009	skoda	2016	725
SH 4996	fiat	2020	616
ZWA 2492	chrysler	2023	2
WD 8358	chrysler	2016	379
SG 3276	skoda	2023	837
WJ 3800	citroen	2012	139
SRC 4781	nissan	2015	590
SBE 6807	honda	2015	752
SO 4899	fiat	2023	777
SGL 7526	renault	2016	409
SB 8086	fiat	2023	737
SR 7255	fiat	2012	686
SL 2105	renault	2013	278
WA 9701	peugeot	2010	168
SGL 4082	skoda	2016	439
FSW 6067	fiat	2023	335
SH 4047	opel	2020	888
SPI 5991	chrysler	2023	314
SD 4179	skoda	2021	723
SGL 8015	skoda	2011	869
SZ 3176	nissan	2022	585
SL 8130	ford	2020	824
SD 7537	toyota	2017	761
SH 3165	renault	2013	52
SY 3680	fiat	2022	611
SJZ 8380	renault	2012	318
SJ 6202	opel	2022	849
SK 1821	opel	2011	74
SB 1451	opel	2023	26
SY 8344	skoda	2022	539
SRC 5228	nissan	2015	791
SL 2492	seat	2022	32
SY 9131	peugeot	2020	200
SI 5971	renault	2023	872
SZA 2429	fiat	2012	364
SL 2481	peugeot	2012	841
SBI 5944	toyota	2020	70
SGL 9139	ford	2012	34
ST 9136	skoda	2015	576
SK 6467	skoda	2012	268
PSZ 3036	fiat	2021	423
SL 7597	toyota	2017	763
SH 3312	fiat	2010	633
BSK 5050	ford	2017	381
SBI 1141	fiat	2011	735
SK 7885	kia	2013	863
SGL 4521	mazda	2016	672
WWR 5351	skoda	2019	246
PCT 8057	ford	2016	75
SBL 6267	skoda	2016	491
SBE 8105	fiat	2022	126
SBE 7389	seat	2021	210
