Data	Godzina	Zapotrzebowanie
2024-04-01	1	1524,564
2024-04-01	2	1307,093
2024-04-01	3	1222,506
2024-04-01	4	1225,012
2024-04-01	5	1836,463
2024-04-01	6	3041,245
2024-04-01	7	4142,891
2024-04-01	8	6127,953
2024-04-01	9	6863,303
2024-04-01	10	7660,265
2024-04-01	11	7638,742
2024-04-01	12	7765,685
2024-04-01	13	8090,241
2024-04-01	14	7643,168
2024-04-01	15	7879,351
2024-04-01	16	7935,476
2024-04-01	17	7657,336
2024-04-01	18	7030,756
2024-04-01	19	6282,954
2024-04-01	20	6112,856
2024-04-01	21	4749,813
2024-04-01	22	4584,656
2024-04-01	23	2840,255
2024-04-01	24	1667,598
2024-04-02	1	1509,318
2024-04-02	2	1294,022
2024-04-02	3	1210,281
2024-04-02	4	1212,762
2024-04-02	5	1818,099
2024-04-02	6	3010,832
2024-04-02	7	4101,462
2024-04-02	8	5982,218
2024-04-02	9	6700,08
2024-04-02	10	7478,088
2024-04-02	11	7457,077
2024-04-02	12	7581,001
2024-04-02	13	7897,839
2024-04-02	14	7461,398
2024-04-02	15	7691,964
2024-04-02	16	7906,481
2024-04-02	17	7629,357
2024-04-02	18	7005,066
2024-04-02	19	6259,997
2024-04-02	20	6090,521
2024-04-02	21	4732,458
2024-04-02	22	4567,904
2024-04-02	23	2829,877
2024-04-02	24	1661,505
2024-04-03	1	1654,8
2024-04-03	2	1447,019
2024-04-03	3	1353,377
2024-04-03	4	1195,879
2024-04-03	5	1792,788
2024-04-03	6	2968,918
2024-04-03	7	4044,364
2024-04-03	8	6783,959
2024-04-03	9	7598,028
2024-04-03	10	8480,306
2024-04-03	11	8456,48
2024-04-03	12	8597,011
2024-04-03	13	8956,312
2024-04-03	14	7076,79
2024-04-03	15	7295,471
2024-04-03	16	7347,437
2024-04-03	17	7089,908
2024-04-03	18	6515,682
2024-04-03	19	6961,881
2024-04-03	20	6773,403
2024-04-03	21	5263,072
2024-04-03	22	5080,067
2024-04-03	23	3147,169
2024-04-03	24	1847,797
2024-04-04	1	1677,02
2024-04-04	2	1437,803
2024-04-04	3	1344,757
